Index,Company,Product,Inches,Price_euros,SSD_Memory(GB),HDD_Memory(GB),Ram(GB),ScreenResolution(pixels),CPU_Type,CPU_Frequency(GHz),GPU_Type
1,Apple,MacBook Pro,13.3,1339.69,128,0,8,2560x1600,Intel Core,2.3,Intel Iris
3,HP,250 G6,15.6,575.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
4,Apple,MacBook Pro,15.4,2537.45,512,0,16,2880x1800,Intel Core,2.7,AMD Radeon
5,Apple,MacBook Pro,13.3,1803.6,256,0,8,2560x1600,Intel Core,3.1,Intel Iris
6,Acer,Aspire 3,15.6,400.0,0,500,4,1366x768,AMD A9-Series,3,AMD Radeon
9,Asus,ZenBook UX430UN,14.0,1495.0,512,0,16,1920x1080,Intel Core,1.8,Nvidia GeForce
10,Acer,Swift 3,14.0,770.0,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
11,HP,250 G6,15.6,393.9,0,500,4,1366x768,Intel Core,2.5,Intel HD
12,HP,250 G6,15.6,344.99,0,500,4,1920x1080,Intel Core,2,Intel HD
13,Apple,MacBook Pro,15.4,2439.97,256,0,16,2880x1800,Intel Core,2.8,AMD Radeon
14,Dell,Inspiron 3567,15.6,498.9,256,0,4,1920x1080,Intel Core,2,AMD Radeon
15,Apple,"MacBook 12""",12.0,1262.4,256,0,8,2304x1440,Intel Core,1.2,Intel HD
16,Apple,MacBook Pro,13.3,1518.55,256,0,8,2560x1600,Intel Core,2.3,Intel Iris
17,Dell,Inspiron 3567,15.6,745.0,256,0,8,1920x1080,Intel Core,2.7,AMD Radeon
18,Apple,MacBook Pro,15.4,2858.0,512,0,16,2880x1800,Intel Core,2.9,AMD Radeon
19,Lenovo,IdeaPad 320-15IKB,15.6,499.0,0,1024.0,8,1920x1080,Intel Core,2.4,Nvidia GeForce
20,Dell,XPS 13,13.3,979.0,128,0,8,1920x1080,Intel Core,1.6,Intel UHD
22,Lenovo,Legion Y520-15IKBN,15.6,999.0,128,1024.0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
23,HP,255 G6,15.6,258.0,0,500,4,1366x768,AMD E-Series,1.5,AMD Radeon
24,Dell,Inspiron 5379,13.3,819.0,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),15.6,659.0,256,0,8,1920x1080,Intel Core,1.8,Intel HD
26,Dell,Inspiron 3567,15.6,418.64,0,1024.0,4,1366x768,Intel Core,2,Intel HD
28,Dell,Inspiron 5570,15.6,800.0,256,0,8,1920x1080,Intel Core,1.6,AMD Radeon
29,Dell,Latitude 5590,15.6,1298.0,256,256,8,1920x1080,Intel Core,1.9,Intel UHD
30,HP,ProBook 470,17.3,896.0,0,1024.0,8,1920x1080,Intel Core,1.6,Nvidia GeForce
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,17.3,439.0,0,500,4,1920x1080,AMD A6-Series,2.5,AMD Radeon
34,Dell,XPS 13,13.3,1869.0,512,0,16,3200x1800,Intel Core,1.8,Intel UHD
37,Acer,Aspire 3,15.6,367.0,0,1024.0,4,1366x768,Intel Core,2.7,Intel HD
38,Dell,Inspiron 5770,17.3,979.0,128,1024.0,8,1920x1080,Intel Core,1.6,AMD Radeon
39,HP,250 G6,15.6,488.69,0,1024.0,4,1366x768,Intel Core,2.5,Intel HD
40,HP,ProBook 450,15.6,879.0,256,0,8,1920x1080,Intel Core,1.6,Nvidia GeForce
41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),15.6,389.0,0,1024.0,4,1920x1080,Intel Core,2,Intel HD
42,Dell,Inspiron 7577,15.6,1499.0,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,15.6,522.99,0,1024.0,8,1366x768,Intel Core,2.5,Nvidia GeForce
44,Acer,Aspire A515-51G,15.6,682.0,256,0,4,1920x1080,Intel Core,1.6,Intel UHD
45,Dell,Inspiron 7773,17.3,999.0,0,1024.0,12,1920x1080,Intel Core,1.6,Nvidia GeForce
46,Apple,MacBook Pro,13.3,1419.0,256,0,8,2560x1600,Intel Core,2.0,Intel Iris
47,Lenovo,IdeaPad 320-15ISK,15.6,369.0,128,0,4,1366x768,Intel Core,2,Intel HD
48,Asus,Rog Strix,17.3,1299.0,256,1024.0,8,1920x1080,AMD Ryzen,3,AMD Radeon
49,Dell,Inspiron 3567,15.6,639.0,256,0,4,1920x1080,Intel Core,2.5,AMD Radeon
50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,17.3,466.0,0,1024.0,4,1366x768,Intel Pentium,1.1,Nvidia GeForce
52,Acer,Aspire A515-51G,15.6,841.0,256,0,8,1920x1080,Intel Core,1.8,Nvidia GeForce
53,HP,255 G6,15.6,398.49,256,0,4,1920x1080,AMD A6-Series,2.5,AMD Radeon
54,HP,ProBook 430,13.3,1103.0,512,0,8,1920x1080,Intel Core,1.8,Intel UHD
55,Acer,Aspire 3,15.6,384.0,0,1024.0,4,1366x768,Intel Core,2.4,Intel HD
56,Dell,Inspiron 3576,15.6,767.8,256,0,8,1920x1080,Intel Core,1.8,AMD Radeon
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),15.6,439.0,128,0,4,1920x1080,Intel Core,2,Intel HD
58,Asus,VivoBook Max,15.6,586.19,256,0,4,1366x768,Intel Core,2.5,Intel HD
59,MSI,GS73VR 7RG,17.3,2449.0,256,2048.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),15.6,415.0,256,0,4,1920x1080,Intel Core,2,Intel HD
61,Dell,Inspiron 5770,17.3,1299.0,256,2048.0,16,1920x1080,Intel Core,1.8,AMD Radeon
62,Dell,Vostro 5471,14.0,879.0,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
63,Lenovo,IdeaPad 520S-14IKB,14.0,599.0,256,0,8,1920x1080,Intel Core,2.7,Intel HD
64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),14.0,941.0,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
66,HP,250 G6,15.6,690.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
67,Asus,ZenBook Pro,15.6,1983.0,512,0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
68,HP,250 G6,15.6,438.69,0,500,4,1366x768,Intel Core,2,AMD Radeon
69,HP,Stream 14-AX040wm,14.0,229.0,32,0,4,1366x768,Intel Celeron,1.6,Intel HD
70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),15.6,549.0,0,1024.0,4,1920x1080,Intel Core,2.5,Intel HD
71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,17.3,949.0,0,1024.0,12,1920x1080,Intel Core,2.8,Nvidia GeForce
72,Microsoft,Surface Laptop,13.5,1089.0,128,0,4,2256x1504,Intel Core,2.5,Intel HD
73,Dell,Inspiron 5370,13.3,955.0,256,0,8,1920x1080,Intel Core,1.8,AMD Radeon
74,Dell,Inspiron 5570,15.6,870.0,256,0,8,1920x1080,Intel Core,1.8,AMD Radeon
75,MSI,GL72M 7RDX,17.3,1095.0,128,1024.0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
76,Acer,Aspire E5-475,14.0,389.0,0,1024.0,8,1366x768,Intel Core,2,Intel HD
77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,15.6,949.0,0,1024.0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
78,Lenovo,IdeaPad 320-15IKBN,15.6,519.0,0,2048.0,8,1920x1080,Intel Core,2.5,Intel HD
79,Dell,Inspiron 5570,15.6,855.0,128,1024.0,8,1920x1080,Intel Core,1.8,Intel UHD
80,Acer,Aspire A515-51G-32MX,15.6,530.0,0,1024.0,4,1920x1080,Intel Core,2.7,Nvidia GeForce
81,HP,ProBook 470,17.3,977.0,128,1024.0,8,1920x1080,Intel Core,1.6,Nvidia GeForce
82,Dell,Latitude 5590,15.6,1096.16,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
83,Apple,"MacBook 12""",12.0,1510.0,512,0,8,2304x1440,Intel Core,1.3,Intel HD
84,HP,ProBook 440,14.0,860.0,256,0,8,1920x1080,Intel Core,1.6,Intel HD
85,Lenovo,IdeaPad 320-15AST,15.6,399.0,128,0,4,1920x1080,AMD A6-Series,2.5,AMD R4
86,Acer,Aspire 3,15.6,395.0,0,1024.0,4,1366x768,AMD A9-Series,3,AMD Radeon
87,Dell,Inspiron 7577,15.6,1349.0,128,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
88,HP,Pavilion 15-CK000nv,15.6,699.0,256,0,8,1920x1080,Intel Core,1.8,Nvidia GeForce
89,HP,250 G6,15.6,598.99,256,0,8,1920x1080,Intel Core,2.5,Intel HD
90,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,15.6,1449.0,128,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
91,Dell,XPS 13,13.3,1649.0,256,0,8,1920x1080,Intel Core,1.8,Intel UHD
92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,15.6,699.0,0,1024.0,8,1920x1080,AMD FX,3,AMD Radeon
93,Acer,Aspire 5,15.6,689.0,0,1024.0,8,1920x1080,Intel Core,1.8,Nvidia GeForce
94,HP,Probook 430,13.3,1197.0,512,0,16,1920x1080,Intel Core,1.8,Intel UHD
95,Dell,Inspiron 7577,15.6,1195.0,256,0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
96,Asus,Zenbook UX430UA,14.0,1049.0,256,0,8,1920x1080,Intel Core,2.7,Intel HD
97,Acer,Spin 5,13.3,847.0,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
98,Dell,Inspiron 3567,15.6,599.9,0,1024.0,8,1920x1080,Intel Core,2.7,AMD Radeon
99,Dell,Inspiron 3567,15.6,485.0,256,0,4,1920x1080,Intel Core,2,AMD Radeon
100,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,15.6,577.0,256,0,6,1920x1080,Intel Core,2.4,Nvidia GeForce
102,HP,Omen 15-ce007nv,15.6,1249.0,128,1024.0,12,1920x1080,Intel Core,2.8,Nvidia GeForce
103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,15.6,719.0,256,0,8,1920x1080,Intel Core,2.7,AMD Radeon
104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,15.6,349.0,0,500,4,1920x1080,AMD E-Series,1.5,AMD Radeon
105,Dell,Inspiron 3576,15.6,647.0,0,1024.0,8,1920x1080,Intel Core,1.6,AMD Radeon
106,HP,Envy 13-ad009n,13.3,1119.0,256,0,8,1920x1080,Intel Core,2.7,Nvidia GeForce
107,Microsoft,Surface Laptop,13.5,1340.0,256,0,8,2256x1504,Intel Core,2.5,Intel HD
108,HP,Pavilion 14-BK001nv,14.0,659.0,256,0,6,1920x1080,Intel Core,2.5,Nvidia GeForce
109,Lenovo,Ideapad 310-15ISK,15.6,414.9,0,1024.0,4,1920x1080,Intel Core,2,Intel HD
110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,14.0,1193.0,256,0,8,1920x1080,Intel Core,2.7,Nvidia GeForce
111,MSI,GP62M 7REX,15.6,1299.0,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
112,Lenovo,Thinkpad T470,14.0,1480.0,256,0,8,1920x1080,Intel Core,2.7,Intel HD
113,Asus,VivoBook S15,15.6,1262.0,256,1024.0,16,1920x1080,Intel Core,1.8,Nvidia GeForce
114,Dell,XPS 13,13.3,1379.0,256,0,8,3200x1800,Intel Core,2.4,Intel Iris
