State,Poverty
Alabama,20.94925373134329
Alaska,13.555172413793102
Arizona,20.19333333333333
Arkansas,20.421333333333326
California,15.737931034482767
Colorado,13.234375
Connecticut,9.2
Delaware,12.299999999999999
District of Columbia,17.4
Florida,17.150746268656714
Georgia,21.19245283018868
Hawaii,11.66
Idaho,15.472727272727269
Illinois,13.95588235294117
Indiana,13.176086956521745
Iowa,11.5
Kansas,12.368571428571423
Kentucky,21.30416666666666
Louisiana,21.900000000000006
Maine,13.99375
Maryland,10.858333333333336
Massachusetts,11.2
Michigan,15.665060240963856
Minnesota,11.04022988505747
Mississippi,24.941463414634136
Missouri,17.261739130434787
Montana,14.589285714285712
Nebraska,11.195698924731182
Nevada,12.700000000000001
New Hampshire,9.27
New Jersey,10.495238095238097
New Mexico,21.742424242424242
New York,14.016129032258062
North Carolina,18.321999999999996
North Dakota,10.628301886792451
Ohio,14.50795454545455
Oklahoma,17.08571428571429
Oregon,15.908333333333331
Pennsylvania,12.832835820895522
Puerto Rico,48.7294871794872
Rhode Island,10.02
South Carolina,20.063043478260873
South Dakota,16.206060606060596
Tennessee,18.4557894736842
Texas,16.335039370078746
Utah,12.189655172413795
Vermont,11.6
Virginia,14.367669172932333
Washington,15.066666666666666
West Virginia,18.574545454545458
Wisconsin,11.944444444444446
Wyoming,11.22608695652174
